UTC time string, UTC time with nanoseconds integer, local time string, UTC time string, elapsed_time, UTC time integer, monotonic seconds, monotonic nanoseconds
2017-01-04T21:16:27.400068196Z, 20170104211627400068196, 2017-01-04T16:16:27.400068196-05:00, 2017-01-04T21:16:27.400068196Z, 3, 20170104211627, 99025, 876621093
2017-01-04T21:16:27.500186630Z, 20170104211627500186630, 2017-01-04T16:16:27.500186630-05:00, 2017-01-04T21:16:27.500186630Z, 3, 20170104211627, 99025, 976739867
2017-01-04T21:16:27.600190832Z, 20170104211627600190832, 2017-01-04T16:16:27.600190832-05:00, 2017-01-04T21:16:27.600190832Z, 3, 20170104211627, 99026, 76744140
2017-01-04T21:16:27.700188191Z, 20170104211627700188191, 2017-01-04T16:16:27.700188191-05:00, 2017-01-04T21:16:27.700188191Z, 3, 20170104211627, 99026, 176741385
2017-01-04T21:16:27.800184762Z, 20170104211627800184762, 2017-01-04T16:16:27.800184762-05:00, 2017-01-04T21:16:27.800184762Z, 3, 20170104211627, 99026, 276737980
2017-01-04T21:16:27.900184745Z, 20170104211627900184745, 2017-01-04T16:16:27.900184745-05:00, 2017-01-04T21:16:27.900184745Z, 3, 20170104211627, 99026, 376737919
2017-01-04T21:16:28.000129543Z, 20170104211628000129543, 2017-01-04T16:16:28.000129543-05:00, 2017-01-04T21:16:28.000129543Z, 4, 20170104211628, 99026, 476682747
2017-01-04T21:16:28.100126688Z, 20170104211628100126688, 2017-01-04T16:16:28.100126688-05:00, 2017-01-04T21:16:28.100126688Z, 4, 20170104211628, 99026, 576679927
2017-01-04T21:16:28.200133650Z, 20170104211628200133650, 2017-01-04T16:16:28.200133650-05:00, 2017-01-04T21:16:28.200133650Z, 4, 20170104211628, 99026, 676686921
2017-01-04T21:16:28.300083003Z, 20170104211628300083003, 2017-01-04T16:16:28.300083003-05:00, 2017-01-04T21:16:28.300083003Z, 4, 20170104211628, 99026, 776635821
2017-01-04T21:16:28.400097194Z, 20170104211628400097194, 2017-01-04T16:16:28.400097194-05:00, 2017-01-04T21:16:28.400097194Z, 4, 20170104211628, 99026, 876650446
2017-01-04T21:16:28.500133721Z, 20170104211628500133721, 2017-01-04T16:16:28.500133721-05:00, 2017-01-04T21:16:28.500133721Z, 4, 20170104211628, 99026, 976686842
2017-01-04T21:16:28.600131472Z, 20170104211628600131472, 2017-01-04T16:16:28.600131472-05:00, 2017-01-04T21:16:28.600131472Z, 4, 20170104211628, 99027, 76684743
2017-01-04T21:16:28.700128921Z, 20170104211628700128921, 2017-01-04T16:16:28.700128921-05:00, 2017-01-04T21:16:28.700128921Z, 4, 20170104211628, 99027, 176682155
2017-01-04T21:16:28.800130657Z, 20170104211628800130657, 2017-01-04T16:16:28.800130657-05:00, 2017-01-04T21:16:28.800130657Z, 4, 20170104211628, 99027, 276683789
2017-01-04T21:16:28.900129191Z, 20170104211628900129191, 2017-01-04T16:16:28.900129191-05:00, 2017-01-04T21:16:28.900129191Z, 4, 20170104211628, 99027, 376682393
2017-01-04T21:16:29.000074409Z, 20170104211629000074409, 2017-01-04T16:16:29.000074409-05:00, 2017-01-04T21:16:29.000074409Z, 5, 20170104211629, 99027, 476627350
2017-01-04T21:16:29.100066627Z, 20170104211629100066627, 2017-01-04T16:16:29.100066627-05:00, 2017-01-04T21:16:29.100066627Z, 5, 20170104211629, 99027, 576619664
2017-01-04T21:16:29.200091814Z, 20170104211629200091814, 2017-01-04T16:16:29.200091814-05:00, 2017-01-04T21:16:29.200091814Z, 5, 20170104211629, 99027, 676644888
2017-01-04T21:16:29.300122042Z, 20170104211629300122042, 2017-01-04T16:16:29.300122042-05:00, 2017-01-04T21:16:29.300122042Z, 5, 20170104211629, 99027, 776675186
2017-01-04T21:16:29.400135960Z, 20170104211629400135960, 2017-01-04T16:16:29.400135960-05:00, 2017-01-04T21:16:29.400135960Z, 5, 20170104211629, 99027, 876689175
2017-01-04T21:16:29.500124999Z, 20170104211629500124999, 2017-01-04T16:16:29.500124999-05:00, 2017-01-04T21:16:29.500124999Z, 5, 20170104211629, 99027, 976678069
2017-01-04T21:16:29.600066056Z, 20170104211629600066056, 2017-01-04T16:16:29.600066056-05:00, 2017-01-04T21:16:29.600066056Z, 5, 20170104211629, 99028, 76619020
2017-01-04T21:16:29.700062984Z, 20170104211629700062984, 2017-01-04T16:16:29.700062984-05:00, 2017-01-04T21:16:29.700062984Z, 5, 20170104211629, 99028, 176616302
2017-01-04T21:16:29.800172628Z, 20170104211629800172628, 2017-01-04T16:16:29.800172628-05:00, 2017-01-04T21:16:29.800172628Z, 5, 20170104211629, 99028, 276725841
2017-01-04T21:16:29.900198274Z, 20170104211629900198274, 2017-01-04T16:16:29.900198274-05:00, 2017-01-04T21:16:29.900198274Z, 5, 20170104211629, 99028, 376751289
